Date;Time;Pression [cm H2O];Etiqueta P;Temperatura [°C];Etiqueta T;EC [µs/cm];Etiqueta EC;;;Pozo;;;;;;;;;;;;;;Río;;;;;;;;;;;;
02-03-2013;13:00:00;981,5;1;17,81;0;257;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;14:00:00;871,1;1;17,86;0;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;15:00:00;870,7;1;17,8;0;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;16:00:00;1025,5;1;17,71;0;256;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;17:00:00;870,3;1;17,84;0;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;18:00:00;961,2;1;17,79;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;19:00:00;921;1;17,83;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;20:00:00;951,1;1;17,8;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;21:00:00;945,3;1;17,83;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;22:00:00;873;1;17,84;0;7;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02-03-2013;23:00:00;932,6;1;17,82;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;0:00:00;972,6;1;17,81;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;1:00:00;1053,7;1;17,82;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;2:00:00;1029,2;1;17,85;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;3:00:00;945,3;1;17,89;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;4:00:00;1036,2;1;17,85;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;5:00:00;1012,3;1;17,87;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;6:00:00;980,1;1;17,88;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;7:00:00;1074,9;1;17,87;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;8:00:00;988,8;1;17,88;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;9:00:00;1058,6;1;17,86;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;10:00:00;890,9;1;17,88;0;254;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;11:00:00;1026,7;1;17,83;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;12:00:00;905,2;1;17,87;0;254;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;13:00:00;873,4;1;17,85;0;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;14:00:00;872,6;1;17,8;0;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;15:00:00;872,2;1;17,8;0;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;16:00:00;872,3;1;17,81;0;9;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;17:00:00;962,9;1;17,78;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;18:00:00;1039,5;1;17,81;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;19:00:00;924,2;1;17,9;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;20:00:00;872,6;1;17,87;0;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;21:00:00;873;1;17,84;0;8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;22:00:00;1012,9;1;17,8;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03-03-2013;23:00:00;939,2;1;17,83;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04-03-2013;0:00:00;1018,5;1;17,83;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04-03-2013;1:00:00;947,7;1;17,9;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04-03-2013;2:00:00;1067,8;1;17,85;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04-03-2013;3:00:00;1070;1;17,89;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04-03-2013;4:00:00;1045,6;1;17,92;0;255;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
