iter	Passed	Remaining
0	16	16685
1	23	11717
2	30	9977
3	37	9240
4	43	8691
5	50	8413
6	57	8194
7	64	7955
8	70	7791
9	77	7673
10	83	7542
11	91	7515
12	97	7413
13	105	7401
14	111	7289
15	118	7267
16	124	7222
17	131	7156
18	138	7138
19	144	7073
20	151	7073
21	158	7029
22	164	6997
23	171	6972
24	178	6970
25	186	6984
26	193	6963
27	202	7024
28	209	7019
29	217	7026
30	223	6999
31	232	7019
32	238	6998
33	245	6981
34	253	6983
35	260	6973
36	267	6950
37	273	6927
38	280	6917
39	287	6910
40	294	6893
41	301	6876
42	308	6866
43	316	6879
44	324	6885
45	331	6875
46	338	6869
47	345	6844
48	352	6838
49	359	6835
50	367	6836
51	374	6820
52	381	6815
53	388	6810
54	396	6808
55	403	6798
56	411	6805
57	418	6792
58	425	6785
59	433	6798
60	440	6787
61	449	6801
62	456	6795
63	465	6801
64	472	6792
65	479	6782
66	486	6773
67	493	6766
68	500	6750
69	506	6727
70	513	6714
71	519	6700
72	526	6691
73	534	6686
74	541	6675
75	548	6668
76	555	6662
77	562	6654
78	569	6643
79	577	6645
80	584	6627
81	590	6614
82	598	6607
83	604	6597
84	613	6601
85	620	6597
86	628	6595
87	635	6581
88	641	6563
89	653	6605
90	666	6656
91	672	6640
92	679	6628
93	690	6659
94	697	6645
95	703	6624
96	710	6618
97	717	6601
98	725	6598
99	732	6592
100	740	6592
101	748	6588
102	755	6583
103	763	6582
104	773	6589
105	781	6588
106	789	6587
107	797	6583
108	803	6569
109	812	6571
110	820	6569
111	828	6568
112	835	6557
113	842	6544
114	848	6532
115	856	6530
116	863	6519
117	871	6515
118	878	6504
119	885	6494
120	892	6481
121	899	6473
122	906	6465
123	914	6458
124	921	6452
125	929	6446
126	938	6449
127	946	6444
128	952	6434
129	960	6427
130	968	6422
131	976	6421
132	984	6420
133	992	6417
134	1000	6411
135	1008	6406
136	1015	6397
137	1023	6393
138	1031	6389
139	1039	6384
140	1046	6377
141	1055	6376
142	1062	6367
143	1070	6362
144	1077	6353
145	1085	6350
146	1093	6342
147	1101	6339
148	1109	6337
149	1117	6330
150	1124	6319
151	1131	6312
152	1139	6306
153	1146	6295
154	1152	6285
155	1160	6278
156	1167	6271
157	1174	6260
158	1182	6256
159	1189	6247
160	1197	6242
161	1204	6233
162	1211	6218
163	1217	6206
164	1224	6194
165	1231	6185
166	1237	6175
167	1245	6166
168	1251	6155
169	1258	6146
170	1265	6134
171	1272	6125
172	1278	6112
173	1285	6103
174	1292	6091
175	1298	6081
176	1304	6067
177	1311	6056
178	1317	6044
179	1324	6032
180	1331	6026
181	1338	6016
182	1346	6010
183	1352	5998
184	1359	5989
185	1366	5981
186	1373	5970
187	1381	5965
188	1388	5957
189	1395	5951
190	1402	5941
191	1409	5930
192	1415	5917
193	1421	5907
194	1429	5901
195	1435	5890
196	1442	5879
197	1449	5870
198	1455	5860
199	1462	5851
200	1469	5841
201	1476	5833
202	1483	5824
203	1490	5815
204	1497	5806
205	1504	5798
206	1511	5791
207	1518	5781
208	1525	5773
209	1532	5764
210	1538	5752
211	1546	5748
212	1554	5742
213	1561	5734
214	1567	5724
215	1575	5718
216	1581	5707
217	1588	5698
218	1595	5690
219	1601	5679
220	1609	5672
221	1615	5661
222	1622	5653
223	1628	5643
224	1635	5633
225	1641	5623
226	1648	5614
227	1655	5606
228	1662	5597
229	1669	5589
230	1676	5580
231	1683	5572
232	1690	5564
233	1697	5555
234	1703	5546
235	1710	5536
236	1717	5528
237	1725	5523
238	1731	5513
239	1738	5504
240	1745	5496
241	1752	5490
242	1760	5485
243	1767	5476
244	1775	5470
245	1781	5461
246	1788	5452
247	1795	5444
248	1802	5437
249	1810	5430
250	1817	5422
251	1825	5417
252	1831	5407
253	1838	5400
254	1845	5390
255	1852	5383
256	1859	5376
257	1866	5368
258	1873	5359
259	1879	5350
260	1886	5341
261	1898	5348
262	1905	5339
263	1912	5331
264	1918	5322
265	1925	5313
266	1932	5306
267	1939	5296
268	1945	5287
269	1952	5279
270	1959	5270
271	1966	5262
272	1972	5253
273	1979	5244
274	1985	5235
275	1992	5225
276	1998	5216
277	2004	5207
278	2011	5198
279	2018	5190
280	2025	5181
281	2031	5173
282	2039	5166
283	2045	5157
284	2052	5150
285	2060	5142
286	2067	5135
287	2074	5128
288	2082	5123
289	2089	5116
290	2096	5108
291	2104	5102
292	2110	5093
293	2118	5087
294	2125	5079
295	2132	5072
296	2140	5066
297	2147	5059
298	2155	5052
299	2163	5047
300	2169	5038
301	2176	5030
302	2183	5021
303	2189	5013
304	2196	5004
305	2202	4995
306	2209	4986
307	2215	4977
308	2222	4969
309	2229	4961
310	2235	4953
311	2242	4946
312	2249	4937
313	2256	4929
314	2263	4921
315	2269	4912
316	2276	4904
317	2282	4895
318	2289	4886
319	2295	4878
320	2302	4871
321	2309	4863
322	2316	4855
323	2324	4849
324	2331	4842
325	2337	4833
326	2344	4824
327	2351	4817
328	2358	4809
329	2364	4801
330	2371	4792
331	2378	4785
332	2384	4776
333	2391	4768
334	2398	4761
335	2405	4753
336	2413	4747
337	2419	4738
338	2426	4731
339	2433	4723
340	2440	4716
341	2447	4708
342	2453	4699
343	2460	4691
344	2466	4682
345	2473	4675
346	2479	4666
347	2485	4657
348	2492	4648
349	2498	4639
350	2506	4634
351	2513	4626
352	2520	4619
353	2527	4612
354	2534	4604
355	2541	4596
356	2548	4589
357	2554	4581
358	2561	4572
359	2567	4564
360	2574	4556
361	2580	4548
362	2587	4540
363	2593	4531
364	2600	4523
365	2607	4516
366	2614	4509
367	2621	4502
368	2628	4494
369	2634	4486
370	2641	4478
371	2647	4470
372	2654	4461
373	2661	4454
374	2667	4445
375	2674	4438
376	2681	4430
377	2687	4422
378	2693	4413
379	2699	4404
380	2706	4397
381	2713	4389
382	2720	4382
383	2727	4374
384	2734	4367
385	2740	4359
386	2747	4351
387	2754	4344
388	2760	4335
389	2767	4328
390	2773	4320
391	2780	4311
392	2786	4304
393	2792	4295
394	2799	4288
395	2806	4280
396	2813	4273
397	2820	4266
398	2827	4258
399	2834	4251
400	2840	4243
401	2847	4235
402	2853	4227
403	2860	4220
404	2867	4213
405	2875	4206
406	2883	4201
407	2889	4193
408	2895	4184
409	2903	4178
410	2910	4170
411	2917	4163
412	2923	4155
413	2930	4148
414	2937	4141
415	2944	4134
416	2953	4128
417	2959	4120
418	2967	4114
419	2973	4106
420	2979	4098
421	2986	4090
422	2992	4082
423	3000	4075
424	3012	4076
425	3020	4069
426	3026	4061
427	3033	4054
428	3040	4047
429	3048	4040
430	3055	4033
431	3061	4025
432	3069	4019
433	3076	4012
434	3083	4005
435	3090	3997
436	3097	3990
437	3104	3983
438	3111	3976
