iter	Passed	Remaining
0	7	7478
1	14	7342
2	21	7252
3	29	7308
4	36	7327
5	43	7281
6	51	7279
7	58	7299
8	67	7464
9	75	7426
10	83	7467
11	90	7445
12	97	7435
13	105	7464
14	113	7427
15	118	7293
16	126	7317
17	134	7351
18	141	7316
19	149	7304
20	156	7284
21	163	7285
22	171	7274
23	179	7300
24	187	7301
25	194	7300
26	202	7282
27	209	7279
28	217	7283
29	225	7285
30	232	7272
31	240	7281
32	247	7258
33	255	7247
34	262	7229
35	269	7216
36	276	7199
37	284	7194
38	291	7188
39	299	7192
40	307	7188
41	316	7208
42	324	7212
43	331	7206
44	339	7210
45	347	7207
46	355	7208
47	363	7203
48	371	7203
49	378	7199
50	386	7192
51	393	7181
52	401	7176
53	409	7173
54	416	7164
55	424	7155
56	431	7144
57	439	7145
58	448	7148
59	460	7214
60	468	7208
61	475	7201
62	483	7197
63	491	7195
64	500	7192
65	507	7187
66	516	7192
67	524	7188
68	532	7183
69	540	7176
70	548	7172
71	556	7168
72	564	7170
73	572	7158
74	580	7154
75	588	7154
76	596	7148
77	604	7143
78	612	7138
79	620	7134
80	628	7128
81	635	7119
82	644	7120
83	653	7123
84	660	7115
85	669	7113
86	679	7131
87	687	7127
88	695	7122
89	703	7117
90	711	7110
91	719	7104
92	728	7102
93	736	7094
94	743	7085
95	751	7074
96	758	7065
97	767	7066
98	776	7069
99	784	7061
100	792	7052
101	799	7042
102	807	7034
103	815	7028
104	823	7018
105	830	7005
106	837	6988
107	844	6972
108	850	6954
109	857	6940
110	864	6921
111	871	6909
112	879	6903
113	887	6896
114	894	6881
115	900	6863
116	907	6851
117	915	6839
118	922	6826
119	929	6813
120	936	6800
121	942	6786
122	949	6771
123	957	6762
124	965	6756
125	972	6748
126	979	6735
127	987	6725
128	994	6715
129	1001	6701
130	1008	6691
131	1015	6680
132	1023	6669
133	1030	6657
134	1036	6643
135	1044	6634
136	1051	6620
137	1058	6611
138	1066	6603
139	1073	6594
140	1080	6583
141	1087	6573
142	1095	6565
143	1102	6555
144	1109	6543
145	1117	6534
146	1124	6526
147	1132	6517
148	1139	6509
149	1146	6498
150	1153	6486
151	1160	6474
152	1167	6464
153	1174	6454
154	1182	6446
155	1190	6438
156	1197	6430
157	1205	6421
158	1212	6413
159	1219	6402
160	1226	6392
161	1233	6382
162	1240	6370
163	1247	6358
164	1254	6349
165	1261	6339
166	1273	6349
167	1280	6342
168	1288	6333
169	1295	6325
170	1302	6314
171	1310	6306
172	1317	6298
173	1324	6287
174	1331	6275
175	1338	6264
176	1345	6255
177	1352	6247
178	1360	6239
179	1367	6230
180	1374	6220
181	1382	6212
182	1389	6201
183	1396	6192
184	1403	6184
185	1411	6176
186	1419	6170
187	1427	6164
188	1434	6155
189	1441	6145
190	1449	6138
191	1456	6128
192	1462	6117
193	1470	6109
194	1477	6099
195	1484	6091
196	1492	6083
197	1499	6073
198	1506	6064
199	1513	6055
200	1521	6047
201	1528	6038
202	1535	6029
203	1542	6020
204	1550	6013
205	1558	6008
206	1566	6000
207	1573	5992
208	1581	5984
209	1588	5975
210	1595	5966
211	1603	5959
212	1610	5950
213	1617	5941
214	1624	5932
215	1631	5923
216	1638	5913
217	1646	5906
218	1653	5897
219	1661	5890
220	1668	5880
221	1676	5874
222	1683	5864
223	1690	5856
224	1697	5848
225	1704	5839
226	1712	5831
227	1719	5821
228	1726	5813
229	1734	5805
230	1741	5798
231	1749	5792
232	1756	5783
233	1763	5773
234	1771	5767
235	1779	5761
236	1787	5753
237	1794	5746
238	1802	5740
239	1809	5731
240	1816	5721
241	1824	5714
242	1831	5706
243	1839	5698
244	1846	5690
245	1854	5682
246	1861	5675
247	1868	5666
248	1875	5655
249	1883	5649
250	1890	5642
251	1898	5635
252	1906	5629
253	1914	5621
254	1921	5613
255	1930	5609
256	1937	5601
257	1945	5595
258	1952	5587
259	1960	5579
260	1967	5572
261	1974	5562
262	1982	5555
263	1989	5547
264	1996	5537
265	2003	5529
266	2010	5520
267	2018	5512
268	2025	5503
269	2032	5495
270	2040	5488
271	2047	5480
272	2054	5471
273	2061	5463
274	2068	5454
275	2076	5446
276	2083	5439
277	2091	5430
278	2098	5422
279	2106	5415
280	2113	5408
281	2121	5401
282	2128	5393
283	2137	5387
284	2144	5380
285	2152	5372
286	2158	5362
287	2165	5354
288	2173	5346
289	2180	5338
290	2187	5329
291	2195	5322
292	2203	5315
293	2210	5308
294	2217	5299
295	2228	5299
296	2235	5292
297	2243	5285
298	2250	5277
299	2258	5269
